feature,converged,log_likelihood,aic,bic,class_b_pvalue,class_c_pvalue,time_pvalue,class_b_time_pvalue,class_c_time_pvalue,class_b_coef,class_c_coef,time_coef,class_b_time_coef,class_c_time_coef,discriminative_score,effect_size,attribute,axis,cycle_region,frequency
gain_vertical_whole_cycle_freq0.75,True,-568681.6345985774,,,4.623533985742799e-06,0.001962690211592937,0.0006265621939071905,0.1446088765434134,0.11964786803831742,-0.0687651868071618,-0.048016043065037345,0.033220959756496,-0.0209265172113395,-0.02306687992123093,3.0071563251432973,0.11678122987219915,gain,vertical,whole_cycle,0.75
gain_horizontal_whole_cycle_freq0.5,True,-594296.7551035061,,,3.5357900017706217e-05,0.0021503734608644036,0.0003947211291483463,0.006885472252489726,0.42292423792723843,-0.05614471508878977,-0.04343747397260398,0.0304713774029258,-0.03431399659194114,-0.010610562337145038,2.9614331723532614,0.09958218906139375,gain,horizontal,whole_cycle,0.5
gain_horizontal_whole_cycle_freq0.75,True,-479070.47546694335,,,0.00014403578679075645,0.008290422652313386,0.0006097673671601039,0.00022071247241866685,0.0010950021177558145,-0.05077649362578604,-0.03643965990382318,0.029154430499476615,-0.04640311051392345,-0.042377460437537394,2.3749727827868314,0.08721615352960922,gain,horizontal,whole_cycle,0.75
gain_horizontal_whole_cycle_freq1.0,True,-313790.87117743166,,,0.0002690116534360534,0.015970931868212156,0.0017868663978923825,0.06083820555958811,0.2771047614574237,-0.06728195496307382,-0.04597767188191134,0.046808287690292896,-0.041484255618044266,-0.024851137431341735,2.0904454757723703,0.11325962684498517,gain,horizontal,whole_cycle,1.0
gain_horizontal_negative_half_cycle_freq1.0,True,-136483.83143453742,,,0.007331182582292026,0.04765926257403279,0.002414166971135366,0.022956050950394602,0.11887122365886177,-0.0764085029007848,-0.05831080843954756,0.07086219981114585,-0.07843671110936243,-0.05557895511326037,1.5607427587060314,0.13471931134033235,gain,horizontal,negative_half_cycle,1.0
gain_vertical_whole_cycle_freq0.5,True,-694088.4597627651,,,0.00020642296554571272,0.05871151120890968,2.565229282752161e-09,0.019137859829831766,0.11745074090593276,-0.052331563358999404,-0.027544266122756282,0.06720913196871695,-0.039030842891931504,-0.026949868890540095,1.5307824833165586,0.07987582948175569,gain,vertical,whole_cycle,0.5
gain_vertical_whole_cycle_freq1.0,True,-382881.45338941785,,,0.00046401161596002524,0.061871230158127455,1.1405722778775234e-05,0.03459186357040821,0.0680554437500217,-0.0655350717334631,-0.03598172065628127,0.06713805487140148,-0.04791725819826155,-0.04259103371991286,1.5062963459948915,0.10151679238974437,gain,vertical,whole_cycle,1.0
gain_horizontal_negative_half_cycle_freq0.5,True,-261876.73263508547,,,1.8970004632741154e-06,0.06385681583626898,0.11458349705151154,0.1928890605874214,0.17532456682974495,-0.10667111460762249,-0.04326757530584299,0.02819867345019059,-0.03436088434412169,-0.037293984036476865,1.4958098338357133,0.14993868991346548,gain,horizontal,negative_half_cycle,0.5
gain_vertical_negative_half_cycle_freq0.5,True,-274696.45570762036,,,0.009823672154300536,0.058100367363238474,1.7615717053815288e-05,0.5739492222779636,0.74135888334772,-0.0835719276923076,-0.06337579256102682,0.08467241008839933,0.016374764668237386,0.009932410240543577,1.469006488409487,0.1469477202533344,gain,vertical,negative_half_cycle,0.5
velocity_vertical_whole_cycle_freq0.75,True,805973.5540665137,,,0.021291966919532893,0.06712476481502483,1.1951040220571084e-14,0.14403915832036168,0.9407558581412142,-0.010644683603611687,-0.008744847141878797,-0.006192983878484787,-0.0017313475690697744,9.100899285059599e-05,1.3544955372205447,0.019389530745490484,velocity,vertical,whole_cycle,0.75
gain_horizontal_negative_half_cycle_freq0.75,True,-215886.58681337768,,,1.7020261469154077e-05,0.10765623478732735,0.0022375321629628468,0.03365417459983241,0.005686327581093602,-0.10494272866091627,-0.040563190708572595,0.05912928443204197,-0.06067646985341862,-0.08161970853065466,1.2689221525356742,0.14550591936948887,gain,horizontal,negative_half_cycle,0.75
gain_vertical_positive_half_cycle_freq0.75,True,-216962.7362561808,,,0.0432371567041078,0.11054041938131852,0.0077736132240067545,5.883992249079687e-05,0.3328858159856114,-0.06962141005370907,-0.05679074487575046,0.05510543833327237,-0.12281683766320886,-0.030587819565219186,1.114136984031457,0.12641215492945954,gain,vertical,positive_half_cycle,0.75
gain_horizontal_positive_half_cycle_freq1.0,True,-139648.336910591,,,0.009567686391414284,0.17370199918015894,0.0020978249044601186,0.645387159361068,0.7117586200042989,-0.06877788180019676,-0.03731268773313372,0.0688016786053194,0.015199201179407018,0.012610189641726006,1.0379393604393012,0.10609056953333047,gain,horizontal,positive_half_cycle,1.0
speed_horizontal_negative_half_cycle_freq0.75,True,258281.85240478022,,,0.1300268925739683,0.14545262740935866,0.29719871318942437,0.7921911058033109,0.7080350972653437,0.008893204074041232,0.008835879314083495,-0.0033523258536963868,-0.001251111148843827,-0.0018375440108872676,0.8609406777827986,0.017729083388124726,speed,horizontal,negative_half_cycle,0.75
velocity_vertical_positive_half_cycle_freq0.75,True,462496.78854289604,,,0.1201399147127994,0.19158934122113358,1.4047106218370527e-11,0.12967653357351056,0.9408565201681613,-0.01016982209962783,-0.008829517585760824,-0.011760224331977303,-0.003894390323913896,0.00019701667273466287,0.8072524324590545,0.018999339685388653,velocity,vertical,positive_half_cycle,0.75
velocity_vertical_negative_half_cycle_freq0.75,True,390042.64664675714,,,0.12034830927981362,0.22433483051798397,1.1529356974810366e-14,0.8707782701007232,0.9934614799628761,-0.010702667716812938,-0.008650837058416766,0.013606033209563356,-0.00042329303610967665,2.203421023416833e-05,0.7636099550323593,0.019353504775229704,velocity,vertical,negative_half_cycle,0.75
speed_horizontal_whole_cycle_freq0.75,True,513559.04567130096,,,0.04454886398952607,0.30368111268672804,0.3707569399778544,0.2667934203016028,0.9987749093443135,0.011505143585769423,0.006086814103170148,0.0031064397660013395,-0.00569122537708441,8.131001085404143e-06,0.7591638416581605,0.01759195768893957,speed,horizontal,whole_cycle,0.75
gain_vertical_positive_half_cycle_freq1.0,True,-152675.82968462608,,,0.03846923413809875,0.3453470597587396,2.3206725985964653e-06,0.006097125292503912,0.006970169304694358,-0.06983090151826085,-0.03277158378198072,0.12410017942802863,-0.10680954198168638,-0.10817237064658754,0.7169065878332233,0.10260248530024157,gain,vertical,positive_half_cycle,1.0
speed_horizontal_positive_half_cycle_freq1.0,True,162816.31771258172,,,0.14694238654985886,0.26983555198983344,0.21190742492679926,0.5189271712603227,0.0033543236712326244,0.004613948456450009,0.0036270104214664333,-0.0017840267589028175,0.0013611707127430752,0.006396194979473839,0.6811252732256519,0.008240958877916442,speed,horizontal,positive_half_cycle,1.0
gain_horizontal_positive_half_cycle_freq0.5,True,-256663.19789881585,,,0.3999356924986256,0.0347815428483266,1.8404797773899948e-09,0.6782320803320021,0.46579730922289564,-0.017646806254693906,-0.046146158672602695,0.10966407843369581,-0.01117632836050273,0.02048734854795669,0.6628231363460579,0.06379296492729661,gain,horizontal,positive_half_cycle,0.5
gain_vertical_negative_half_cycle_freq1.0,True,-159971.85473235208,,,0.1079126167240329,0.36582167194993764,0.0025555678536103997,0.9227600248531108,0.7802528112876467,-0.057571827179119545,-0.03333613875943595,0.08474575126126184,0.004037415545452407,0.011958573789105064,0.6254951755764698,0.09090796593855549,gain,vertical,negative_half_cycle,1.0
speed_vertical_whole_cycle_freq0.75,True,473448.3239037432,,,0.46664382151026407,0.011949877743251625,0.6826140134246674,0.5575193484009371,0.13491337717211996,0.0020788677702073075,0.0074172739186493895,-0.0006211144064081022,-0.0013156178620756858,0.0034649854319165805,0.6210630187091332,0.009496141688856697,speed,vertical,whole_cycle,0.75
gain_vertical_negative_half_cycle_freq0.75,True,-226308.60713246232,,,0.14574378644196284,0.33556658992582655,0.0007548219676307784,0.11909925385799365,0.5174083852037794,-0.05174876691708995,-0.035395339043782434,0.07542449895340078,0.05152752181818471,-0.02211413077904223,0.6186047709333211,0.08714410596087238,gain,vertical,negative_half_cycle,0.75
speed_horizontal_positive_half_cycle_freq0.5,True,349007.70092116017,,,0.00044808864328231595,0.5116297567259405,0.11518513899490138,0.6826198802294154,0.3267478056265056,0.01440841615871209,0.0028092529830364282,-0.005423563834248927,-0.002078786107466338,0.0051989019390821616,0.5916940086504514,0.01721766914174852,speed,horizontal,positive_half_cycle,0.5
speed_horizontal_positive_half_cycle_freq0.75,True,257591.68748334004,,,0.004409464805909707,0.5784113181234947,0.6405920584259542,0.19139003013137312,0.566241391133811,0.012766441311149249,0.0025745719918651585,-0.0017785554716464756,-0.007349470815791257,0.0033341062423635237,0.5354949655422064,0.015341013303014408,speed,horizontal,positive_half_cycle,0.75
speed_vertical_whole_cycle_freq1.0,True,293201.3783926121,,,0.580150773019295,0.02010972254965759,0.4099739892933162,0.6673523803344705,0.8876262916807834,-0.0015732148147917652,0.006804479001267308,-0.0014986870816113761,-0.001158776299503277,-0.0003921813195701397,0.522690233074545,0.008377693816059073,speed,vertical,whole_cycle,1.0
velocity_horizontal_negative_half_cycle_freq1.0,True,301565.87568336516,,,0.08599865115767653,0.5159816493673435,1.703637966404248e-24,0.7612586388913147,0.9659430116532238,-0.008199993350019953,0.003205558155448344,0.0280521458690721,-0.0012321154122545868,0.0001789125191868656,0.5214477160779205,0.011405551505468297,velocity,horizontal,negative_half_cycle,1.0
velocity_horizontal_negative_half_cycle_freq0.5,True,601253.4057255262,,,0.46430543415556635,0.3841874303187168,4.191028734269645e-25,0.811424086999569,0.6729612085417449,-0.0038500876331949998,-0.0047741303583714164,0.013072553964556418,0.00044500049835433136,0.0008209018717252247,0.37238180115597314,0.008624217991566416,velocity,horizontal,negative_half_cycle,0.5
velocity_horizontal_positive_half_cycle_freq1.0,True,295808.04551272886,,,0.3685447408618854,0.49185133807266823,7.808059973772743e-23,0.7629165767217335,0.9696573381929683,-0.004371019090988335,-0.003452498775057397,-0.02595473783159572,0.0011753026524863649,-0.000153136926395386,0.36633157304445063,0.007823517866045732,velocity,horizontal,positive_half_cycle,1.0
gain_horizontal_positive_half_cycle_freq0.75,True,-210909.23034663172,,,0.674009812798093,0.2006038640380754,0.00023476189638992797,0.8286437286202897,0.8998637804025249,-0.010168177868474607,-0.0319664128157172,0.06754140374262532,-0.00586871055059624,-0.0035254781761161385,0.3592137311905954,0.04213459068419181,gain,horizontal,positive_half_cycle,0.75
velocity_horizontal_positive_half_cycle_freq0.5,True,608055.0813925047,,,0.42474302605905634,0.49002089845955665,6.541083131940386e-21,0.9405021574258846,0.5357994025473991,-0.0045415370442247124,-0.004095266738529942,-0.011685652515585282,-0.00013729546749323944,-0.0011876443254701414,0.3397209665379375,0.008636803782754655,velocity,horizontal,positive_half_cycle,0.5
velocity_vertical_positive_half_cycle_freq0.5,True,630816.1867917855,,,0.1724843778982018,0.9856513799583781,4.139841187679588e-06,0.2778158006890963,0.27451893990659815,-0.0091942131953286,0.00012523597150835813,-0.006407298521215031,-0.0022301107363569064,-0.002320211140433283,0.23727052477075827,0.009319449166836958,velocity,vertical,positive_half_cycle,0.5
speed_vertical_negative_half_cycle_freq0.75,True,218456.72230468644,,,0.9284372385171978,0.348052231465534,0.04158697895027466,0.7346187234093737,0.47880668574551766,-0.0005705561496943383,0.006159754168958898,-0.008904919286096259,-0.002187624135405533,0.004722565566232391,0.19501275902304352,0.006730310318653236,speed,vertical,negative_half_cycle,0.75
speed_vertical_negative_half_cycle_freq1.0,True,138011.55695930985,,,0.6863630495786219,0.642806637082072,0.020271119267446156,0.8617929296849803,0.6949528532695063,-0.0026966901847754045,0.003188231769871706,-0.01037152712610107,0.0011529904410054583,0.002673376991525669,0.17744956749550192,0.005884921954647111,speed,vertical,negative_half_cycle,1.0
speed_horizontal_negative_half_cycle_freq0.5,True,346591.95965918666,,,0.3585813111835101,0.9882600570598551,0.00021922420800343328,0.3444872765137744,0.08655148696815218,0.003707869038321268,6.19681613195012e-05,-0.014758693096515873,0.005574593541221923,0.01053866484359109,0.17171354832010127,0.003769837199640769,speed,horizontal,negative_half_cycle,0.5
velocity_vertical_negative_half_cycle_freq1.0,True,261187.4416217266,,,0.6601637763254298,0.7361382514047332,1.02901611535175e-19,0.025866407850843258,0.7812520632982127,0.003136472999954623,-0.0024743509089241657,0.025363277297917926,-0.00921997773071581,-0.0011827696952473948,0.15605062689250737,0.005610823908878789,velocity,vertical,negative_half_cycle,1.0
velocity_vertical_negative_half_cycle_freq0.5,True,528847.0207148851,,,0.4463987168886524,0.9768541931735956,1.5321044273955867e-09,0.6691581674476474,0.960578591103675,-0.005048677014522914,-0.0001987736777381911,0.008525603607053222,-0.0008905127885422955,-0.00010643684794809182,0.1477479151357496,0.005247450692261105,velocity,vertical,negative_half_cycle,0.5
velocity_horizontal_negative_half_cycle_freq0.75,True,457055.98555432446,,,0.6416473911061771,0.7983532819646093,1.0193940487986542e-20,0.061683602629064985,0.10682251284268149,-0.002324692228860482,0.00131861091866059,0.01486046298780327,0.004392941891136236,0.003917463308202725,0.14266730051476,0.0036433031475210723,velocity,horizontal,negative_half_cycle,0.75
velocity_vertical_positive_half_cycle_freq1.0,True,291783.3436852244,,,0.7424958133640802,0.7105472472204453,1.5644165348754335e-18,0.08438341258075815,0.5007361817022211,0.00210290043925613,-0.0024451358428210115,-0.0247253206780994,0.007199900236165145,0.002891580086206289,0.13875151090209106,0.004548036282077141,velocity,vertical,positive_half_cycle,1.0
gain_vertical_positive_half_cycle_freq0.5,True,-260182.49620688567,,,0.5913224323595478,0.8869320336365915,0.0001166471163768099,0.0006201899218731829,0.06416951633938986,-0.017263895397577687,0.004723992353574945,0.07816573151734603,-0.10253047650022273,-0.05729535063738435,0.13128079587282557,0.02198788775115263,gain,vertical,positive_half_cycle,0.5
velocity_horizontal_positive_half_cycle_freq0.75,True,458600.2254503635,,,0.7755192819548415,0.7983489229265406,3.9304639994145933e-16,0.21542318639496205,0.04022607451952255,-0.0013657150357258428,-0.001264302666985502,-0.013565952191571131,-0.0030483909619257875,-0.005216113310152692,0.10406163371613496,0.002630017702711345,velocity,horizontal,positive_half_cycle,0.75
velocity_horizontal_whole_cycle_freq0.75,True,883596.5563760772,,,0.6585550731578564,0.9210833897281326,4.568146570437866e-19,0.29004484542715736,0.7419187704776853,-0.0019268188789986727,-0.0004463401386174218,-0.005046771677610956,0.000883724587578681,0.0002842174784922101,0.10247229570543094,0.0023731590176160945,velocity,horizontal,whole_cycle,0.75
velocity_horizontal_whole_cycle_freq0.5,True,inf,,,0.9999928078430651,0.9999950137701502,4.0385521017283716e-26,0.5869001319825233,0.9268891872103492,-0.011851651372659585,-0.00856783810186785,-0.004784409650858464,0.00036311207351327236,-6.394462167243556e-05,2.6444677113229285e-06,0.020419489474527437,velocity,horizontal,whole_cycle,0.5
velocity_vertical_whole_cycle_freq0.5,True,inf,,,0.99999933375392,0.9999938741702378,1.2844553245427727e-25,0.30824381083785324,0.11650768642345165,0.0011671927121120113,0.011089000247715275,-0.005034003089179237,-0.000723935424905349,-0.0011523157024212957,1.4748396042492282e-06,0.012256192959827286,velocity,vertical,whole_cycle,0.5
velocity_vertical_whole_cycle_freq1.0,True,inf,,,0.9999967056684045,0.9999973956577985,4.908305138932451e-23,0.06801942736382846,0.45179925344137506,-0.011337526697794843,0.009226119639858324,-0.007194976296855988,-0.001969178829530214,0.0008357587876313306,1.2808391995832608e-06,0.020563646337653167,velocity,vertical,whole_cycle,1.0
